demanda_id,empresa_id,competencia,tipo_demanda,descricao,status,responsavel_operacional,estagiario_responsavel,data_limite,observacao,concluida_em,concluida_por,percentual_grupo,bloqueada,motivo_bloqueio,atualizado_em
84179,91,2026-05,PUXAR_NF_SAIDA,PUXAR_NF_SAIDA,pendente,,,,,,,0.0,0,,2026-05-31 01:01:46
84180,91,2026-05,OUTRA,OUTRA,pendente,,,,,,,0.0,0,,2026-05-31 01:01:46
89560,91,2026-05,PEDIR_INFOS,PEDIR_INFOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:46
89958,91,2026-05,APUR_SIMPLES,APUR_SIMPLES,pendente,,,,,,,0.0,0,,2026-05-31 01:01:46
89959,91,2026-05,GUIA_MEI,GUIA_MEI,pendente,,,,,,,0.0,0,,2026-05-31 01:01:46
89960,91,2026-05,GUIA_PREF,GUIA_PREF,pendente,,,,,,,0.0,0,,2026-05-31 01:01:46
89961,91,2026-05,REL_DEBITOS,REL_DEBITOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:46
89962,91,2026-05,CONS_ICMS_ST,CONS_ICMS_ST,pendente,,,,,,,0.0,0,,2026-05-31 01:01:46
89964,91,2026-05,COBRAR_HONORARIOS,COBRAR_HONORARIOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:46
100919,64,2026-05,CONS_ICMS_ST,CONS_ICMS_ST,pendente,,,,,,,0.0,0,,2026-05-31 01:01:39
100920,64,2026-05,PUXAR_NF_SAIDA,PUXAR_NF_SAIDA,pendente,,,,,,,0.0,0,,2026-05-31 01:01:39
101040,64,2026-05,PEDIR_INFOS,PEDIR_INFOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:38
101041,64,2026-05,APUR_SIMPLES,APUR_SIMPLES,pendente,,,,,,,0.0,0,,2026-05-31 01:01:38
101042,64,2026-05,GUIA_MEI,GUIA_MEI,pendente,,,,,,,0.0,0,,2026-05-31 01:01:38
101043,64,2026-05,REL_MEI,REL_MEI,pendente,,,,,,,0.0,0,,2026-05-31 01:01:38
101044,64,2026-05,GUIA_PREF,GUIA_PREF,pendente,,,,,,,0.0,0,,2026-05-31 01:01:39
101045,64,2026-05,REL_DEBITOS,REL_DEBITOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:39
76213,85,2026-05,PEDIR_INFOS,PEDIR_INFOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:43
76214,85,2026-05,GUIA_PREF,GUIA_PREF,pendente,,,,,,,0.0,0,,2026-05-31 01:01:43
76215,85,2026-05,REL_DEBITOS,REL_DEBITOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:43
76216,85,2026-05,PUXAR_NF_SAIDA,PUXAR_NF_SAIDA,pendente,,,,,,,0.0,0,,2026-05-31 01:01:43
76217,85,2026-05,PARC_IMPOSTOS,PARC_IMPOSTOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:43
71848,82,2026-05,EXEC_FOLHA,EXEC_FOLHA,pendente,,,,[Responsável: Vitor],,,0.0,0,,2026-05-31 02:09:27
71849,82,2026-05,ENV_CONTRACHEQUES,ENV_CONTRACHEQUES,pendente,,,,[Responsável: Edivan],,,0.0,0,,2026-05-31 14:11:20
71850,82,2026-05,GUIA_INSS,GUIA_INSS,pendente,,,,[Responsável: Edivan],,,0.0,0,,2026-05-31 14:11:20
71851,82,2026-05,APUR_SIMPLES,APUR_SIMPLES,pendente,,,,[Responsável: Edivan],,,0.0,0,,2026-05-31 14:11:20
71852,82,2026-05,GUIA_PREF,GUIA_PREF,pendente,,,,[Responsável: Edivan],,,0.0,0,,2026-05-31 14:11:20
71853,82,2026-05,PUXAR_NF_SAIDA,PUXAR_NF_SAIDA,pendente,,,,[Responsável: Edivan],,,0.0,0,,2026-05-31 14:11:20
81519,82,2026-05,PEDIR_INFOS,PEDIR_INFOS,pendente,,,,[Responsável: Edivan],,,0.0,0,,2026-05-31 14:11:20
81597,89,2026-05,PEDIR_INFOS,PEDIR_INFOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:33
81598,89,2026-05,GUIA_MEI,GUIA_MEI,pendente,,,,,,,0.0,0,,2026-05-31 01:01:33
81599,89,2026-05,ENV_PARC_SIMPLES,ENV_PARC_SIMPLES,pendente,,,,,,,0.0,0,,2026-05-31 01:01:33
81600,89,2026-05,REL_MEI,REL_MEI,pendente,,,,,,,0.0,0,,2026-05-31 01:01:33
81601,89,2026-05,GUIA_PREF,GUIA_PREF,pendente,,,,,,,0.0,0,,2026-05-31 01:01:33
92829,68,2026-05,OUTRA,OUTRA,pendente,,,,,,,0.0,0,,2026-05-31 01:01:39
92561,81,2026-05,OUTRA,OUTRA,pendente,,,,,,,0.0,0,,2026-05-31 01:01:44
92972,96,2026-05,PARC_MENSAL,PARC_MENSAL,pendente,,,,,,,0.0,0,,2026-05-31 01:01:44
92973,96,2026-05,OUTRA,OUTRA,pendente,,,,,,,0.0,0,,2026-05-31 01:01:44
101027,56,2026-05,PEDIR_INFOS,PEDIR_INFOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:37
101028,56,2026-05,GUIA_MEI,GUIA_MEI,pendente,,,,,,,0.0,0,,2026-05-31 01:01:37
101029,56,2026-05,REL_MEI,REL_MEI,pendente,,,,,,,0.0,0,,2026-05-31 01:01:37
101030,56,2026-05,REL_DEBITOS,REL_DEBITOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:38
80441,98,2026-05,PEDIR_INFOS,PEDIR_INFOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:40
80442,98,2026-05,GUIA_MEI,GUIA_MEI,pendente,,,,,,,0.0,0,,2026-05-31 01:01:40
84643,101,2026-05,OUTRA,OUTRA,pendente,,,,,,,0.0,0,,2026-05-31 01:01:44
84963,74,2026-05,PUXAR_NF_SAIDA,PUXAR_NF_SAIDA,pendente,,,,,,,0.0,0,,2026-05-07 15:07:04
